employee_id,start_date,end_date,job_id,department_id
252,2023-01-22,2024-01-22,FIN_FA,101
253,2018-06-11,2019-07-11,ENG_DS,103
254,2017-08-08,,ENG_DA,103
255,2016-01-20,,ENG_DE,103
256,2014-08-28,,FIN_ACT,101
257,2021-06-20,,FIN_ACT,101
258,2016-10-27,2017-06-04,OPS_OC,104
259,2021-02-18,,OPS_OM,104
260,2019-12-21,,ENG_SE,103
261,2015-10-03,2019-12-21,ENG_IM,103
262,2014-10-05,,FIN_ACT,101
263,2022-02-21,2013-07-11,MARK_MA,102
264,2015-07-09,,ENG_DE,103
265,2016-07-04,,ENG_DA,103
266,2014-11-09,,ENG_DE,103
267,2022-04-18,,MARK_MC,102
268,2016-06-14,2019-12-21,FIN_ACT,101
269,2021-02-11,,MARK_MC,102
270,2015-08-11,,ENG_DS,103
271,2019-08-16,2022-06-24,ENG_DE,103
272,2021-05-19,,ENG_DS,103
273,2015-12-24,2018-01-05,OPS_OC,104
274,2023-06-07,,ENG_IM,103
275,2018-01-05,,ENG_NE,103
276,2016-11-13,2018-01-05,ENG_DA,103
277,2019-08-23,,MARK_MM,102
278,2021-08-04,,ENG_IM,103
279,2022-06-24,,ENG_IM,103
280,2017-06-25,,MARK_MC,102
281,2019-10-12,2022-06-24,ENG_DS,103
282,2021-07-24,,FIN_ACT,101
283,2018-06-10,2022-06-24,ENG_DE,103
284,2018-11-07,,ENG_DE,103
285,2022-06-19,,MARK_BM,102
286,2014-07-22,,ENG_DE,103
287,2020-03-24,2018-11-07,ENG_NE,103
288,2021-08-14,,ENG_SE,103
289,2022-02-27,,FIN_FA,101
290,2022-10-17,,MARK_DMS,102
291,2021-05-28,,MARK_MA,102
292,2019-11-20,,ENG_CS,103
293,2017-02-25,2018-11-07,ENG_CS,103
294,2014-12-17,2016-07-23,MARK_MA,102
295,2020-03-03,,ENG_DS,103
296,2016-07-23,,ENG_IM,103
297,2023-08-03,,FIN_ACT,101
298,2015-08-17,,ENG_DS,103
299,2017-11-27,2022-10-17,ENG_DE,103
300,2017-06-04,,MARK_MC,102
